epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,406.626,2.25094,2.79781,0.00426,0.32497,0.28342,0.2185,0.11267,1.96577,2.40489,0.00363,7.98957e-05,2.66319e-05,7.98957e-05,2.66319e-05,0.06679,0.0667368,7.98957e-05,2.66319e-05
2,510.527,2.22789,2.25924,0.00404,0.38756,0.3527,0.28476,0.14135,1.94045,2.07654,0.00353,0.000155902,5.19674e-05,0.000155902,5.19674e-05,0.0335327,0.0334288,0.000155902,5.19674e-05
3,609.08,2.21249,2.08192,0.00393,0.45793,0.39315,0.34136,0.15948,1.90824,1.92297,0.0034,0.000227913,7.5971e-05,0.000227913,7.5971e-05,0.000271372,0.00011943,0.000227913,7.5971e-05
4,703.879,2.19746,1.97898,0.00384,0.51219,0.42455,0.39189,0.18479,1.89033,1.8006,0.00335,0.000222018,7.4006e-05,0.000222018,7.4006e-05,0.000222018,7.4006e-05,0.000222018,7.4006e-05
5,798.297,2.17725,1.88814,0.00378,0.54416,0.45711,0.43163,0.20733,1.88531,1.69395,0.00332,0.000216024,7.2008e-05,0.000216024,7.2008e-05,0.000216024,7.2008e-05,0.000216024,7.2008e-05
6,894.281,2.16047,1.82586,0.00374,0.56817,0.47555,0.45681,0.22168,1.87753,1.63392,0.00328,0.00021003,7.001e-05,0.00021003,7.001e-05,0.00021003,7.001e-05,0.00021003,7.001e-05
7,998.302,2.1468,1.77869,0.0037,0.59128,0.48623,0.4782,0.23676,1.86379,1.57751,0.00324,0.000204036,6.8012e-05,0.000204036,6.8012e-05,0.000204036,6.8012e-05,0.000204036,6.8012e-05
8,1095.84,2.14982,1.74228,0.00365,0.60671,0.49886,0.49373,0.24748,1.85319,1.53808,0.0032,0.000198042,6.6014e-05,0.000198042,6.6014e-05,0.000198042,6.6014e-05,0.000198042,6.6014e-05
9,1194.28,2.14142,1.71469,0.00363,0.61649,0.50406,0.5035,0.25456,1.84654,1.51014,0.00318,0.000192048,6.4016e-05,0.000192048,6.4016e-05,0.000192048,6.4016e-05,0.000192048,6.4016e-05
10,1293.77,2.1307,1.6922,0.0036,0.62586,0.51193,0.51281,0.26072,1.83796,1.48391,0.00315,0.000186054,6.2018e-05,0.000186054,6.2018e-05,0.000186054,6.2018e-05,0.000186054,6.2018e-05
11,1392.76,2.12917,1.67706,0.00361,0.63375,0.51678,0.52153,0.26817,1.8335,1.45673,0.00314,0.00018006,6.002e-05,0.00018006,6.002e-05,0.00018006,6.002e-05,0.00018006,6.002e-05
12,1491.42,2.11266,1.64473,0.00355,0.63852,0.52273,0.529,0.27173,1.82915,1.43693,0.00313,0.000174066,5.8022e-05,0.000174066,5.8022e-05,0.000174066,5.8022e-05,0.000174066,5.8022e-05
13,1590.53,2.12005,1.6367,0.00353,0.65015,0.52569,0.53584,0.27643,1.82101,1.42275,0.00311,0.000168072,5.6024e-05,0.000168072,5.6024e-05,0.000168072,5.6024e-05,0.000168072,5.6024e-05
14,1690.86,2.11155,1.63058,0.00356,0.65603,0.52764,0.53969,0.27912,1.8177,1.40888,0.00309,0.000162078,5.4026e-05,0.000162078,5.4026e-05,0.000162078,5.4026e-05,0.000162078,5.4026e-05
15,1791.02,2.10789,1.61544,0.00352,0.65985,0.53408,0.54467,0.28184,1.81232,1.39836,0.00308,0.000156084,5.2028e-05,0.000156084,5.2028e-05,0.000156084,5.2028e-05,0.000156084,5.2028e-05
16,1888.78,2.10797,1.60336,0.00352,0.66335,0.53662,0.54869,0.2837,1.81073,1.39183,0.00307,0.00015009,5.003e-05,0.00015009,5.003e-05,0.00015009,5.003e-05,0.00015009,5.003e-05
17,1983.02,2.09603,1.58797,0.00349,0.66669,0.53564,0.55045,0.2865,1.81083,1.38306,0.00306,0.000144096,4.8032e-05,0.000144096,4.8032e-05,0.000144096,4.8032e-05,0.000144096,4.8032e-05
18,2078.57,2.1056,1.57769,0.00347,0.67203,0.54216,0.55792,0.29181,1.80322,1.36222,0.00305,0.000138102,4.6034e-05,0.000138102,4.6034e-05,0.000138102,4.6034e-05,0.000138102,4.6034e-05
19,2173.12,2.09906,1.57332,0.00345,0.67676,0.54339,0.56043,0.29345,1.80301,1.35611,0.00304,0.000132108,4.4036e-05,0.000132108,4.4036e-05,0.000132108,4.4036e-05,0.000132108,4.4036e-05
20,2269.19,2.09343,1.57048,0.00349,0.67727,0.54562,0.56347,0.29584,1.79732,1.34505,0.00304,0.000126114,4.2038e-05,0.000126114,4.2038e-05,0.000126114,4.2038e-05,0.000126114,4.2038e-05
21,2363.91,2.08427,1.55495,0.00344,0.67948,0.54913,0.56596,0.29683,1.79683,1.33862,0.00303,0.00012012,4.004e-05,0.00012012,4.004e-05,0.00012012,4.004e-05,0.00012012,4.004e-05
22,2459.69,2.09675,1.56413,0.00348,0.685,0.54813,0.56831,0.29997,1.79384,1.33646,0.00303,0.000114126,3.8042e-05,0.000114126,3.8042e-05,0.000114126,3.8042e-05,0.000114126,3.8042e-05
23,2554.19,2.08303,1.54996,0.00347,0.68469,0.55097,0.5713,0.30082,1.79332,1.32849,0.00302,0.000108132,3.6044e-05,0.000108132,3.6044e-05,0.000108132,3.6044e-05,0.000108132,3.6044e-05
24,2650.51,2.08997,1.54867,0.00345,0.68496,0.55404,0.57389,0.30339,1.79034,1.32038,0.00302,0.000102138,3.4046e-05,0.000102138,3.4046e-05,0.000102138,3.4046e-05,0.000102138,3.4046e-05
25,2747.33,2.08331,1.55129,0.00348,0.68995,0.55212,0.5748,0.30417,1.78759,1.31937,0.00301,9.6144e-05,3.2048e-05,9.6144e-05,3.2048e-05,9.6144e-05,3.2048e-05,9.6144e-05,3.2048e-05
26,2841.96,2.09555,1.54742,0.00345,0.69143,0.55451,0.57664,0.30521,1.78775,1.31269,0.00301,9.015e-05,3.005e-05,9.015e-05,3.005e-05,9.015e-05,3.005e-05,9.015e-05,3.005e-05
27,2937.29,2.08187,1.53438,0.00344,0.6902,0.55563,0.5773,0.30602,1.78803,1.30746,0.00301,8.4156e-05,2.8052e-05,8.4156e-05,2.8052e-05,8.4156e-05,2.8052e-05,8.4156e-05,2.8052e-05
28,3030.77,2.07821,1.52978,0.00343,0.69307,0.55782,0.57925,0.30681,1.78546,1.30647,0.003,7.8162e-05,2.6054e-05,7.8162e-05,2.6054e-05,7.8162e-05,2.6054e-05,7.8162e-05,2.6054e-05
29,3125.12,2.07921,1.53379,0.00345,0.6934,0.5581,0.58069,0.30767,1.78569,1.30416,0.003,7.2168e-05,2.4056e-05,7.2168e-05,2.4056e-05,7.2168e-05,2.4056e-05,7.2168e-05,2.4056e-05
30,3221.09,2.07668,1.52274,0.00342,0.69367,0.56027,0.58216,0.30917,1.78532,1.29917,0.003,6.6174e-05,2.2058e-05,6.6174e-05,2.2058e-05,6.6174e-05,2.2058e-05,6.6174e-05,2.2058e-05
31,3314.26,1.92552,1.49178,0.00333,0.68156,0.55121,0.57016,0.30031,1.81364,1.34772,0.00304,6.018e-05,2.006e-05,6.018e-05,2.006e-05,6.018e-05,2.006e-05,6.018e-05,2.006e-05
32,3403.71,1.91335,1.44381,0.0033,0.6873,0.55265,0.57522,0.30393,1.80881,1.33082,0.00303,5.4186e-05,1.8062e-05,5.4186e-05,1.8062e-05,5.4186e-05,1.8062e-05,5.4186e-05,1.8062e-05
33,3494.47,1.90596,1.43673,0.0033,0.69255,0.55606,0.57875,0.30631,1.80447,1.32144,0.00302,4.8192e-05,1.6064e-05,4.8192e-05,1.6064e-05,4.8192e-05,1.6064e-05,4.8192e-05,1.6064e-05
34,3583.1,1.91446,1.43048,0.00328,0.69287,0.55837,0.57929,0.30685,1.80303,1.31887,0.00301,4.2198e-05,1.4066e-05,4.2198e-05,1.4066e-05,4.2198e-05,1.4066e-05,4.2198e-05,1.4066e-05
35,3672.17,1.90783,1.4217,0.00327,0.69682,0.55782,0.58119,0.30795,1.80247,1.31239,0.00301,3.6204e-05,1.2068e-05,3.6204e-05,1.2068e-05,3.6204e-05,1.2068e-05,3.6204e-05,1.2068e-05
36,3760.75,1.90271,1.41724,0.00328,0.69441,0.55899,0.58119,0.30793,1.80257,1.31359,0.00301,3.021e-05,1.007e-05,3.021e-05,1.007e-05,3.021e-05,1.007e-05,3.021e-05,1.007e-05
37,3848.13,1.90783,1.41766,0.00326,0.69592,0.55989,0.58173,0.30841,1.80249,1.30989,0.00301,2.4216e-05,8.072e-06,2.4216e-05,8.072e-06,2.4216e-05,8.072e-06,2.4216e-05,8.072e-06
38,3935.28,1.90339,1.41207,0.00327,0.69624,0.56094,0.58223,0.30874,1.80145,1.30874,0.00301,1.8222e-05,6.074e-06,1.8222e-05,6.074e-06,1.8222e-05,6.074e-06,1.8222e-05,6.074e-06
39,4023.61,1.90492,1.41524,0.00327,0.69735,0.55989,0.58265,0.30898,1.80044,1.30692,0.00301,1.2228e-05,4.076e-06,1.2228e-05,4.076e-06,1.2228e-05,4.076e-06,1.2228e-05,4.076e-06
40,4111.76,1.90265,1.41795,0.00327,0.69721,0.56085,0.58285,0.30899,1.80013,1.30912,0.003,6.234e-06,2.078e-06,6.234e-06,2.078e-06,6.234e-06,2.078e-06,6.234e-06,2.078e-06
