epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1560.76,2.24724,2.6236,0.0032,0.56753,0.44785,0.43095,0.23553,2.09817,2.24806,0.00348,0.00099975,0.00033325,0.00099975,0.00033325,0.0676747,0.0670082,0.00099975,0.00033325
2,2619.21,2.2169,2.12643,0.00298,0.66506,0.50101,0.51948,0.29361,2.03076,1.94322,0.00333,0.00199315,0.000664384,0.00199315,0.000664384,0.0353348,0.034006,0.00199315,0.000664384
3,3677.19,2.1914,1.97522,0.00287,0.70104,0.53629,0.5601,0.32207,2.00991,1.77743,0.00323,0.00297995,0.000993317,0.00297995,0.000993317,0.00298827,0.00100164,0.00297995,0.000993317
4,4740.77,2.17062,1.87794,0.00283,0.73004,0.55838,0.59043,0.34559,1.98673,1.65622,0.00316,0.0029703,0.0009901,0.0029703,0.0009901,0.0029703,0.0009901,0.0029703,0.0009901
5,5792.16,2.1507,1.79931,0.00276,0.74966,0.56597,0.60477,0.35783,1.96641,1.60907,0.0031,0.0029604,0.0009868,0.0029604,0.0009868,0.0029604,0.0009868,0.0029604,0.0009868
6,6857.66,2.14406,1.7663,0.00272,0.75856,0.58148,0.62004,0.36941,1.95275,1.54994,0.00306,0.0029505,0.0009835,0.0029505,0.0009835,0.0029505,0.0009835,0.0029505,0.0009835
7,7915.13,2.13217,1.73033,0.00269,0.7668,0.58645,0.62748,0.37697,1.9406,1.52603,0.00301,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
8,8969.79,2.11632,1.70241,0.00266,0.77316,0.59157,0.63294,0.38223,1.93816,1.48404,0.003,0.0029307,0.0009769,0.0029307,0.0009769,0.0029307,0.0009769,0.0029307,0.0009769
9,10025.6,2.09758,1.67788,0.00263,0.7743,0.59788,0.63985,0.38902,1.92876,1.46001,0.00298,0.0029208,0.0009736,0.0029208,0.0009736,0.0029208,0.0009736,0.0029208,0.0009736
10,11078.6,2.09579,1.65731,0.00261,0.77816,0.60294,0.64352,0.3924,1.92383,1.44401,0.00297,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
11,12131.2,2.08177,1.63906,0.00259,0.77776,0.60598,0.64792,0.3968,1.90916,1.41069,0.00293,0.002901,0.000967,0.002901,0.000967,0.002901,0.000967,0.002901,0.000967
12,13188,2.08637,1.63895,0.0026,0.78283,0.60714,0.65063,0.39968,1.90145,1.39966,0.00293,0.0028911,0.0009637,0.0028911,0.0009637,0.0028911,0.0009637,0.0028911,0.0009637
