epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.768,2.42438,3.17905,0.00895,0.27828,0.22673,0.14488,0.02759,2.17829,3.19592,0.00924,9.82759e-05,3.27586e-05,9.82759e-05,3.27586e-05,0.0673397,0.0672741,9.82759e-05,3.27586e-05
2,60.4015,2.06472,2.68833,0.00698,0.25895,0.16667,0.15412,0.03395,2.02239,3.04043,0.00848,0.000196295,6.54317e-05,0.000196295,6.54317e-05,0.0341043,0.0339735,0.000196295,6.54317e-05
3,65.7261,2.01269,2.53295,0.00668,0.37247,0.16667,0.15288,0.03682,2.12417,2.86076,0.01071,0.000292316,9.74388e-05,0.000292316,9.74388e-05,0.000867029,0.000672151,0.000292316,9.74388e-05
4,71.0879,1.90163,2.39731,0.00655,0.37913,0.16667,0.14695,0.0365,2.02985,2.9842,0.0092,0.000291009,9.7003e-05,0.000291009,9.7003e-05,0.000291009,9.7003e-05,0.000291009,9.7003e-05
5,76.8509,1.85754,2.25851,0.00606,0.33781,0.16667,0.14207,0.03903,1.98539,3.13394,0.00921,0.000288012,9.6004e-05,0.000288012,9.6004e-05,0.000288012,9.6004e-05,0.000288012,9.6004e-05
6,81.8059,1.77459,2.12093,0.0059,0.32597,0.16667,0.15776,0.04665,2.01671,2.99169,0.00884,0.000285015,9.5005e-05,0.000285015,9.5005e-05,0.000285015,9.5005e-05,0.000285015,9.5005e-05
7,86.9616,1.79364,2.10148,0.00579,0.3269,0.16667,0.14495,0.04564,2.02031,2.93453,0.0094,0.000282018,9.4006e-05,0.000282018,9.4006e-05,0.000282018,9.4006e-05,0.000282018,9.4006e-05
8,92.3868,1.77081,1.99908,0.00571,0.49171,0.32366,0.32713,0.072,2.12134,2.75756,0.00933,0.000279021,9.3007e-05,0.000279021,9.3007e-05,0.000279021,9.3007e-05,0.000279021,9.3007e-05
9,97.4142,1.72324,1.91133,0.00563,0.47594,0.33333,0.33494,0.07759,2.20708,2.64404,0.00999,0.000276024,9.2008e-05,0.000276024,9.2008e-05,0.000276024,9.2008e-05,0.000276024,9.2008e-05
10,102.744,1.75556,1.90083,0.00566,0.44101,0.33333,0.34113,0.08016,2.2152,2.62496,0.00978,0.000273027,9.1009e-05,0.000273027,9.1009e-05,0.000273027,9.1009e-05,0.000273027,9.1009e-05
11,108.17,1.72414,1.84782,0.00571,0.45531,0.33333,0.34416,0.08073,2.12269,2.73447,0.0095,0.00027003,9.001e-05,0.00027003,9.001e-05,0.00027003,9.001e-05,0.00027003,9.001e-05
12,113.417,1.67875,1.7323,0.00539,0.49388,0.33333,0.35534,0.08543,2.26251,2.45366,0.01137,0.000267033,8.9011e-05,0.000267033,8.9011e-05,0.000267033,8.9011e-05,0.000267033,8.9011e-05
13,118.875,1.69522,1.70561,0.0055,0.57061,0.33333,0.37169,0.09102,2.31562,2.30336,0.01124,0.000264036,8.8012e-05,0.000264036,8.8012e-05,0.000264036,8.8012e-05,0.000264036,8.8012e-05
14,124.103,1.69372,1.66923,0.00518,0.61717,0.33333,0.35897,0.08942,2.2358,2.38947,0.01155,0.000261039,8.7013e-05,0.000261039,8.7013e-05,0.000261039,8.7013e-05,0.000261039,8.7013e-05
15,129.591,1.70747,1.6596,0.00537,0.61675,0.33333,0.35579,0.08805,2.2705,2.37407,0.01172,0.000258042,8.6014e-05,0.000258042,8.6014e-05,0.000258042,8.6014e-05,0.000258042,8.6014e-05
16,134.744,1.65881,1.57135,0.00525,0.61889,0.33333,0.34777,0.08416,2.1813,2.52856,0.01133,0.000255045,8.5015e-05,0.000255045,8.5015e-05,0.000255045,8.5015e-05,0.000255045,8.5015e-05
17,140.067,1.66415,1.57113,0.00523,0.6285,0.33333,0.35026,0.08357,2.22401,2.45373,0.01113,0.000252048,8.4016e-05,0.000252048,8.4016e-05,0.000252048,8.4016e-05,0.000252048,8.4016e-05
18,145.311,1.68113,1.605,0.00537,0.62954,0.33333,0.36488,0.08851,2.27497,2.28195,0.01129,0.000249051,8.3017e-05,0.000249051,8.3017e-05,0.000249051,8.3017e-05,0.000249051,8.3017e-05
19,151.007,1.63851,1.51487,0.00512,0.65388,0.33333,0.38196,0.09658,2.24202,2.3105,0.0117,0.000246054,8.2018e-05,0.000246054,8.2018e-05,0.000246054,8.2018e-05,0.000246054,8.2018e-05
