epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,418.855,3.46706,4.03029,0.00382,0.31178,0.09278,0.08437,0.03201,3.5563,3.66449,0.00431,0.000998667,0.000332889,0.000998667,0.000332889,0.0677098,0.067044,0.000998667,0.000332889
2,792.15,3.27849,3.33405,0.00333,0.43283,0.15636,0.14857,0.05169,3.48838,3.06336,0.00408,0.00198877,0.000662924,0.00198877,0.000662924,0.0353666,0.0340407,0.00198877,0.000662924
3,1155.69,3.23056,3.04748,0.00317,0.44017,0.17326,0.15982,0.05956,3.35969,2.75187,0.00357,0.00296898,0.00098966,0.00296898,0.00098966,0.00301342,0.0010341,0.00296898,0.00098966
4,1524.54,3.1529,2.82663,0.00303,0.38252,0.18814,0.16729,0.0635,3.21,2.53068,0.00326,0.00295545,0.00098515,0.00295545,0.00098515,0.00295545,0.00098515,0.00295545,0.00098515
5,1895.5,3.16359,2.77503,0.003,0.45012,0.1933,0.19745,0.07263,3.20805,2.4677,0.0033,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
6,2263.1,3.12706,2.54992,0.00295,0.46417,0.23331,0.2167,0.07769,3.1968,2.25912,0.00326,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525
7,2632.27,3.10726,2.48534,0.00291,0.47246,0.23659,0.22821,0.08073,3.26796,2.15458,0.00337,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
8,3004.73,3.06831,2.45826,0.00288,0.50205,0.25773,0.2482,0.09211,3.14149,2.12874,0.00315,0.00289605,0.00096535,0.00289605,0.00096535,0.00289605,0.00096535,0.00289605,0.00096535
9,3374.83,3.04485,2.31737,0.00281,0.59068,0.23325,0.25443,0.09617,3.16197,2.05437,0.00334,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
10,3745.34,3.02141,2.33033,0.0028,0.54421,0.26546,0.25762,0.09027,3.21471,2.01304,0.00309,0.00286635,0.00095545,0.00286635,0.00095545,0.00286635,0.00095545,0.00286635,0.00095545
11,4124.57,3.05354,2.3142,0.00282,0.53524,0.25902,0.26977,0.09765,3.13218,2.00899,0.00304,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
12,4494.23,2.99128,2.23111,0.00272,0.56761,0.27835,0.28312,0.10086,3.12325,1.97595,0.00298,0.00283665,0.00094555,0.00283665,0.00094555,0.00283665,0.00094555,0.00283665,0.00094555
13,4861.4,3.02907,2.25283,0.00274,0.55303,0.27191,0.28828,0.10448,3.08788,2.02098,0.00294,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
14,5236.16,2.9814,2.22476,0.00265,0.53397,0.28497,0.29802,0.10853,3.15251,1.91432,0.00297,0.00280695,0.00093565,0.00280695,0.00093565,0.00280695,0.00093565,0.00280695,0.00093565
15,5610.57,2.98297,2.20587,0.00273,0.50701,0.27964,0.28887,0.10801,3.09569,1.88434,0.00288,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
16,5977.89,2.95043,2.15193,0.00263,0.53955,0.28093,0.28508,0.10754,3.12377,1.90772,0.00299,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575
17,6343.01,2.96505,2.15695,0.00264,0.48699,0.27964,0.27429,0.10336,3.12686,1.8962,0.00301,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
18,6707.76,2.93509,2.12194,0.00261,0.52674,0.27577,0.28581,0.10279,3.08775,1.89383,0.00294,0.00274755,0.00091585,0.00274755,0.00091585,0.00274755,0.00091585,0.00274755,0.00091585
19,7065.42,2.92607,2.10789,0.0026,0.5661,0.26546,0.28976,0.10559,3.13459,1.8632,0.00306,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
20,7423.16,2.95446,2.08515,0.00262,0.53778,0.28995,0.29189,0.10703,3.07186,1.87564,0.00297,0.00271785,0.00090595,0.00271785,0.00090595,0.00271785,0.00090595,0.00271785,0.00090595
21,7787.6,2.96261,2.10441,0.00258,0.54066,0.27757,0.29908,0.11059,3.10999,1.81219,0.00293,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
22,8148.87,2.95143,2.06605,0.00258,0.50391,0.29451,0.29261,0.11458,3.04168,1.81013,0.00283,0.00268815,0.00089605,0.00268815,0.00089605,0.00268815,0.00089605,0.00268815,0.00089605
23,8515.43,2.93979,2.08638,0.00263,0.54331,0.29741,0.31941,0.11602,3.06007,1.80207,0.00285,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
24,8874.98,2.89306,2.03829,0.00251,0.59193,0.3103,0.31495,0.11775,3.01761,1.8168,0.00284,0.00265845,0.00088615,0.00265845,0.00088615,0.00265845,0.00088615,0.00265845,0.00088615
25,9242.56,2.90237,2.08254,0.00251,0.60519,0.2951,0.32601,0.11731,3.0258,1.78577,0.00282,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
26,9607.31,2.89635,2.01569,0.0025,0.62268,0.32732,0.34958,0.12387,3.09665,1.68285,0.00294,0.00262875,0.00087625,0.00262875,0.00087625,0.00262875,0.00087625,0.00262875,0.00087625
27,9973.71,2.88766,1.98461,0.00249,0.5308,0.33376,0.33535,0.12583,2.99339,1.74388,0.00277,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
28,10333.6,2.88019,2.01685,0.00251,0.56824,0.31959,0.33581,0.12533,3.00362,1.71111,0.00275,0.00259905,0.00086635,0.00259905,0.00086635,0.00259905,0.00086635,0.00259905,0.00086635
29,10701,2.87596,1.99488,0.00245,0.55481,0.31443,0.32493,0.11907,2.96875,1.75658,0.00273,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
30,11075.2,2.8758,1.95515,0.00249,0.59935,0.32732,0.34767,0.12433,2.99163,1.70725,0.0028,0.00256935,0.00085645,0.00256935,0.00085645,0.00256935,0.00085645,0.00256935,0.00085645
31,11447.7,2.84745,1.96025,0.0025,0.63763,0.2951,0.34196,0.12565,2.94443,1.78741,0.00271,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
32,11808.5,2.85388,1.98121,0.00247,0.5663,0.33376,0.34697,0.12979,2.9304,1.70743,0.0027,0.00253965,0.00084655,0.00253965,0.00084655,0.00253965,0.00084655,0.00253965,0.00084655
33,12172.2,2.88917,1.98119,0.00247,0.57969,0.33376,0.35523,0.13745,2.90155,1.67123,0.00272,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
34,12536.6,2.86346,1.94869,0.00243,0.62369,0.30969,0.34351,0.13363,2.96431,1.68019,0.00271,0.00250995,0.00083665,0.00250995,0.00083665,0.00250995,0.00083665,0.00250995,0.00083665
35,12893.1,2.86358,1.89809,0.00247,0.61171,0.33892,0.36575,0.13438,3.00651,1.66692,0.00273,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
36,13264.9,2.83148,1.92666,0.00245,0.55848,0.35954,0.36108,0.13203,2.97432,1.64131,0.00276,0.00248025,0.00082675,0.00248025,0.00082675,0.00248025,0.00082675,0.00248025,0.00082675
37,13631.1,2.8459,1.93141,0.00241,0.58574,0.34536,0.36124,0.13749,2.95727,1.65057,0.00266,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
38,13995,2.81468,1.91274,0.00238,0.60981,0.35052,0.3639,0.13276,2.92178,1.66742,0.00271,0.00245055,0.00081685,0.00245055,0.00081685,0.00245055,0.00081685,0.00245055,0.00081685
39,14363,2.82462,1.90909,0.00238,0.57049,0.33247,0.34802,0.12852,2.88272,1.70045,0.00263,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
40,14716.5,2.81424,1.88498,0.00238,0.59446,0.33892,0.35605,0.13722,2.92157,1.65685,0.00264,0.00242085,0.00080695,0.00242085,0.00080695,0.00242085,0.00080695,0.00242085,0.00080695
41,15050.8,2.80809,1.87182,0.00236,0.66314,0.32603,0.36776,0.14012,2.92955,1.62107,0.00265,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
42,15393.5,2.83356,1.92276,0.00238,0.57797,0.34923,0.36224,0.13906,2.95262,1.64898,0.00263,0.00239115,0.00079705,0.00239115,0.00079705,0.00239115,0.00079705,0.00239115,0.00079705
43,15761.3,2.79268,1.86933,0.00235,0.58627,0.34923,0.36992,0.14022,2.92947,1.63959,0.00261,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
44,16122.2,2.80748,1.88577,0.00237,0.59964,0.35309,0.37841,0.14288,2.89458,1.61915,0.00259,0.00236145,0.00078715,0.00236145,0.00078715,0.00236145,0.00078715,0.00236145,0.00078715
