epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,125.155,4.39388,5.25791,0.00363,0.00306,0.00764,9e-05,2e-05,4.20301,3.67261,0.00382,0.000996528,0.000332176,0.000996528,0.000332176,0.0677789,0.0671146,0.000996528,0.000332176
2,173.971,4.31253,3.86146,0.00335,0.00561,0.01401,0.00018,3e-05,4.21765,3.3904,0.0039,0.00198664,0.000662215,0.00198664,0.000662215,0.0354357,0.0341113,0.00198664,0.000662215
3,217.852,4.19293,3.60428,0.00313,0.00449,0.01121,7e-05,1e-05,4.25331,3.28894,0.00395,0.00296686,0.000988954,0.00296686,0.000988954,0.0030826,0.00110469,0.00296686,0.000988954
4,260.955,4.15356,3.47347,0.00315,0.00558,0.01392,0.00019,3e-05,4.22806,3.30714,0.00416,0.00295545,0.00098515,0.00295545,0.00098515,0.00295545,0.00098515,0.00295545,0.00098515
5,303.818,4.05612,3.33168,0.00298,0.00548,0.01367,0.00014,3e-05,4.2647,3.21149,0.00396,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
6,346.734,4.05518,3.34054,0.00302,0.005,0.01248,9e-05,2e-05,4.33161,3.22502,0.00391,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525
7,389.884,4.01769,3.25632,0.00295,0.00497,0.0124,0.00016,5e-05,4.2305,3.31805,0.00391,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
8,432.461,4.04305,3.23099,0.00295,0.00544,0.01358,0.00014,4e-05,4.32896,3.12487,0.00387,0.00289605,0.00096535,0.00289605,0.00096535,0.00289605,0.00096535,0.00289605,0.00096535
9,476.472,4.00267,3.21847,0.00295,0.00507,0.01265,9e-05,2e-05,4.27544,3.13511,0.00394,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
10,519.612,3.9979,3.23343,0.00284,0.0083,0.02072,0.00032,5e-05,4.16177,3.005,0.00393,0.00286635,0.00095545,0.00286635,0.00095545,0.00286635,0.00095545,0.00286635,0.00095545
11,562.403,3.95567,3.19787,0.00288,0.00395,0.00985,6e-05,5e-05,4.35706,3.24042,0.0041,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
12,606.703,3.94709,3.18615,0.00279,0.00507,0.01265,0.00013,5e-05,4.38736,3.262,0.00403,0.00283665,0.00094555,0.00283665,0.00094555,0.00283665,0.00094555,0.00283665,0.00094555
13,650.041,3.9686,3.18026,0.00282,0.00602,0.01503,0.00174,0.00068,4.15195,3.26507,0.00378,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
14,693.456,3.93833,3.14069,0.0028,0.00561,0.01401,0.00018,4e-05,4.16356,3.29639,0.00383,0.00280695,0.00093565,0.00280695,0.00093565,0.00280695,0.00093565,0.00280695,0.00093565
15,736.405,3.93375,3.2037,0.00285,0.00534,0.01333,0.00046,9e-05,4.27977,3.24545,0.00392,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
16,779.902,3.94402,3.14754,0.0028,0.00677,0.0169,0.00018,4e-05,4.16366,3.11025,0.00381,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575
17,822.996,3.94154,3.15587,0.00283,0.0067,0.01673,0.00012,2e-05,4.16094,3.01288,0.00382,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
18,865.175,3.91366,3.12795,0.00284,0.00391,0.00976,3e-05,1e-05,4.32049,3.26504,0.00389,0.00274755,0.00091585,0.00274755,0.00091585,0.00274755,0.00091585,0.00274755,0.00091585
19,908.313,3.96764,3.15405,0.00286,0.00643,0.01605,0.00047,6e-05,4.28258,3.15641,0.00389,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
20,951.635,3.91922,3.11387,0.00278,0.00327,0.00815,2e-05,0,4.49378,3.48069,0.00413,0.00271785,0.00090595,0.00271785,0.00090595,0.00271785,0.00090595,0.00271785,0.00090595
21,994.411,3.89797,3.08022,0.00278,0.00208,0.00518,1e-05,0,4.44422,3.94254,0.00411,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
22,1036.88,3.90948,3.11638,0.00277,0.00585,0.0146,0.0001,2e-05,4.15,3.44309,0.00387,0.00268815,0.00089605,0.00268815,0.00089605,0.00268815,0.00089605,0.00268815,0.00089605
23,1079.43,3.92158,3.14008,0.00279,0.00605,0.01511,0.00021,5e-05,4.20833,3.24745,0.00393,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
24,1123.02,3.93216,3.11579,0.00277,0.00503,0.01257,9e-05,2e-05,4.25386,3.31502,0.00389,0.00265845,0.00088615,0.00265845,0.00088615,0.00265845,0.00088615,0.00265845,0.00088615
25,1165.33,3.89679,3.09329,0.00277,0.00657,0.01639,0.00011,2e-05,4.19279,3.37068,0.00391,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
26,1208.75,3.90853,3.07634,0.00276,0.00456,0.01138,7e-05,1e-05,4.29989,3.36048,0.00391,0.00262875,0.00087625,0.00262875,0.00087625,0.00262875,0.00087625,0.00262875,0.00087625
27,1251.75,3.888,3.10742,0.00276,0.0048,0.01197,8e-05,1e-05,4.20515,3.56139,0.00404,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
28,1294.91,3.89648,3.07101,0.00272,0.00459,0.01146,7e-05,1e-05,4.30085,3.32598,0.00411,0.00259905,0.00086635,0.00259905,0.00086635,0.00259905,0.00086635,0.00259905,0.00086635
29,1338.27,3.88447,3.06614,0.00279,0.00534,0.01333,0.0001,1e-05,4.22073,3.27712,0.00386,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
30,1380.94,3.8899,3.07001,0.00277,0.00938,0.01214,0.00014,2e-05,4.16469,3.70251,0.00425,0.00256935,0.00085645,0.00256935,0.00085645,0.00256935,0.00085645,0.00256935,0.00085645
31,1423.68,3.90971,3.05467,0.00274,0.00051,0.00127,0,0,4.0954,3.83003,0.00396,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
32,1466.29,3.85895,3.05521,0.00272,0.00378,0.00942,3e-05,1e-05,4.38658,3.43416,0.00418,0.00253965,0.00084655,0.00253965,0.00084655,0.00253965,0.00084655,0.00253965,0.00084655
33,1508.7,3.89773,3.09171,0.00277,0.00793,0.01978,0.0003,7e-05,4.15547,3.23646,0.0039,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
34,1552.71,3.89248,3.04073,0.00276,0.00599,0.01494,9e-05,2e-05,4.06419,3.21263,0.00371,0.00250995,0.00083665,0.00250995,0.00083665,0.00250995,0.00083665,0.00250995,0.00083665
35,1595.04,3.83023,3.02936,0.00271,0.00803,0.02004,0.00026,5e-05,4.13614,3.26188,0.00396,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
36,1638.47,3.89581,3.05668,0.00275,0.00686,0.01146,0.00016,3e-05,4.04953,3.5633,0.00372,0.00248025,0.00082675,0.00248025,0.00082675,0.00248025,0.00082675,0.00248025,0.00082675
37,1680.53,3.8663,3.03356,0.00272,0.01122,0.00178,8e-05,3e-05,4.14692,3.90559,0.00385,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
38,1722.41,3.82888,3.01568,0.00274,0.00419,0.00153,2e-05,1e-05,4.29534,3.99682,0.00384,0.00245055,0.00081685,0.00245055,0.00081685,0.00245055,0.00081685,0.00245055,0.00081685
39,1764.66,3.84772,3.03097,0.00273,0.00422,0.01019,7e-05,1e-05,4.26524,3.75502,0.004,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
40,1808.33,3.86063,3.00944,0.00271,0.00534,0.01316,0.00012,3e-05,4.20619,3.42827,0.00387,0.00242085,0.00080695,0.00242085,0.00080695,0.00242085,0.00080695,0.00242085,0.00080695
41,1850.99,3.86065,3.01029,0.00273,0.00827,0.02063,0.00024,4e-05,4.19624,3.13092,0.00388,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
42,1894.34,3.85832,3.02697,0.00271,0.00293,0.0073,8e-05,2e-05,4.31793,3.41386,0.00395,0.00239115,0.00079705,0.00239115,0.00079705,0.00239115,0.00079705,0.00239115,0.00079705
43,1936.77,3.86933,3.01373,0.00275,0.00388,0.00968,2e-05,1e-05,4.14374,3.51495,0.00391,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
