epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,156.548,2.66848,3.16632,0.01111,0.35079,0.27591,0.2028,0.06784,2.47139,2.72474,0.01244,9.97881e-05,3.32627e-05,9.97881e-05,3.32627e-05,0.0668371,0.0667706,9.97881e-05,3.32627e-05
2,202.544,2.59544,2.96912,0.0104,0.42387,0.30429,0.27899,0.10231,2.36412,2.49571,0.01155,0.000197792,6.59308e-05,0.000197792,6.59308e-05,0.0336017,0.0334699,0.000197792,6.59308e-05
3,246.461,2.53777,2.86396,0.00995,0.46137,0.34917,0.32728,0.12701,2.31728,2.37194,0.0114,0.000293798,9.79328e-05,0.000293798,9.79328e-05,0.00036442,0.000168554,0.000293798,9.79328e-05
4,289.036,2.52791,2.83488,0.01009,0.51727,0.37624,0.36923,0.14769,2.28873,2.29067,0.0111,0.000291009,9.7003e-05,0.000291009,9.7003e-05,0.000291009,9.7003e-05,0.000291009,9.7003e-05
5,331.497,2.4849,2.76069,0.00969,0.52841,0.38218,0.38795,0.15477,2.27222,2.25313,0.01102,0.000288012,9.6004e-05,0.000288012,9.6004e-05,0.000288012,9.6004e-05,0.000288012,9.6004e-05
6,373.904,2.47362,2.75173,0.0098,0.55946,0.39406,0.40968,0.16874,2.24757,2.19216,0.01084,0.000285015,9.5005e-05,0.000285015,9.5005e-05,0.000285015,9.5005e-05,0.000285015,9.5005e-05
7,416.803,2.43257,2.6846,0.00953,0.5533,0.38746,0.41329,0.16717,2.25715,2.18351,0.01097,0.000282018,9.4006e-05,0.000282018,9.4006e-05,0.000282018,9.4006e-05,0.000282018,9.4006e-05
8,459.741,2.43834,2.65988,0.00948,0.57017,0.4132,0.43354,0.17989,2.22,2.1427,0.0106,0.000279021,9.3007e-05,0.000279021,9.3007e-05,0.000279021,9.3007e-05,0.000279021,9.3007e-05
9,502.219,2.43254,2.63742,0.00937,0.58339,0.41963,0.44123,0.18485,2.21474,2.10825,0.01064,0.000276024,9.2008e-05,0.000276024,9.2008e-05,0.000276024,9.2008e-05,0.000276024,9.2008e-05
10,544.938,2.44616,2.65668,0.0094,0.5829,0.42838,0.45291,0.18888,2.21375,2.08446,0.01058,0.000273027,9.1009e-05,0.000273027,9.1009e-05,0.000273027,9.1009e-05,0.000273027,9.1009e-05
11,588.159,2.41024,2.63364,0.00935,0.58909,0.43168,0.46092,0.1902,2.19183,2.0772,0.01045,0.00027003,9.001e-05,0.00027003,9.001e-05,0.00027003,9.001e-05,0.00027003,9.001e-05
12,630.243,2.38685,2.59594,0.00914,0.60021,0.43894,0.46397,0.19807,2.16931,2.04224,0.01035,0.000267033,8.9011e-05,0.000267033,8.9011e-05,0.000267033,8.9011e-05,0.000267033,8.9011e-05
13,672.642,2.37994,2.58017,0.00935,0.60251,0.45149,0.46559,0.19591,2.18423,2.02608,0.01039,0.000264036,8.8012e-05,0.000264036,8.8012e-05,0.000264036,8.8012e-05,0.000264036,8.8012e-05
14,715.327,2.38332,2.56107,0.00912,0.61304,0.44488,0.47643,0.20381,2.16632,2.00587,0.01022,0.000261039,8.7013e-05,0.000261039,8.7013e-05,0.000261039,8.7013e-05,0.000261039,8.7013e-05
15,758.946,2.36256,2.53856,0.0091,0.62117,0.4462,0.47565,0.20312,2.16569,2.00252,0.01024,0.000258042,8.6014e-05,0.000258042,8.6014e-05,0.000258042,8.6014e-05,0.000258042,8.6014e-05
16,802.388,2.37601,2.55311,0.00917,0.61585,0.46073,0.48293,0.20639,2.17299,1.98264,0.01032,0.000255045,8.5015e-05,0.000255045,8.5015e-05,0.000255045,8.5015e-05,0.000255045,8.5015e-05
17,845.045,2.37467,2.56389,0.00921,0.62718,0.46997,0.49338,0.21244,2.14439,1.94965,0.01015,0.000252048,8.4016e-05,0.000252048,8.4016e-05,0.000252048,8.4016e-05,0.000252048,8.4016e-05
18,887.932,2.35411,2.5198,0.00893,0.62446,0.47063,0.48892,0.2115,2.14664,1.96056,0.01019,0.000249051,8.3017e-05,0.000249051,8.3017e-05,0.000249051,8.3017e-05,0.000249051,8.3017e-05
19,930.65,2.36759,2.52504,0.00899,0.62192,0.46205,0.4867,0.20584,2.13975,1.98098,0.01015,0.000246054,8.2018e-05,0.000246054,8.2018e-05,0.000246054,8.2018e-05,0.000246054,8.2018e-05
20,973.489,2.37192,2.51383,0.00888,0.62963,0.46904,0.49581,0.21612,2.14583,1.9283,0.01023,0.000243057,8.1019e-05,0.000243057,8.1019e-05,0.000243057,8.1019e-05,0.000243057,8.1019e-05
21,1015.61,2.36818,2.52038,0.00889,0.63033,0.46667,0.49678,0.21431,2.14707,1.92867,0.01024,0.00024006,8.002e-05,0.00024006,8.002e-05,0.00024006,8.002e-05,0.00024006,8.002e-05
22,1057.97,2.34435,2.51443,0.00901,0.62809,0.47525,0.50484,0.21813,2.1371,1.90917,0.01015,0.000237063,7.9021e-05,0.000237063,7.9021e-05,0.000237063,7.9021e-05,0.000237063,7.9021e-05
23,1100.82,2.36174,2.4962,0.00884,0.64319,0.47789,0.50571,0.21974,2.1222,1.9064,0.01001,0.000234066,7.8022e-05,0.000234066,7.8022e-05,0.000234066,7.8022e-05,0.000234066,7.8022e-05
24,1144.52,2.3294,2.46913,0.00901,0.6338,0.48053,0.50969,0.22249,2.11409,1.899,0.00999,0.000231069,7.7023e-05,0.000231069,7.7023e-05,0.000231069,7.7023e-05,0.000231069,7.7023e-05
25,1188.69,2.34283,2.4777,0.00875,0.63983,0.47606,0.50574,0.21818,2.12439,1.92498,0.01,0.000228072,7.6024e-05,0.000228072,7.6024e-05,0.000228072,7.6024e-05,0.000228072,7.6024e-05
26,1231.87,2.35464,2.49108,0.00885,0.62266,0.48713,0.50879,0.22186,2.11955,1.90878,0.00997,0.000225075,7.5025e-05,0.000225075,7.5025e-05,0.000225075,7.5025e-05,0.000225075,7.5025e-05
27,1272.86,2.34177,2.447,0.00883,0.63335,0.47987,0.50919,0.21823,2.11955,1.90468,0.01002,0.000222078,7.4026e-05,0.000222078,7.4026e-05,0.000222078,7.4026e-05,0.000222078,7.4026e-05
28,1315.05,2.33161,2.4584,0.00887,0.63594,0.48647,0.51698,0.22751,2.12341,1.8754,0.00997,0.000219081,7.3027e-05,0.000219081,7.3027e-05,0.000219081,7.3027e-05,0.000219081,7.3027e-05
29,1357.94,2.33267,2.43998,0.0088,0.64582,0.48647,0.51538,0.22412,2.11917,1.87635,0.01,0.000216084,7.2028e-05,0.000216084,7.2028e-05,0.000216084,7.2028e-05,0.000216084,7.2028e-05
30,1399.48,2.33954,2.44928,0.0088,0.64356,0.48185,0.51643,0.2257,2.11118,1.87245,0.00992,0.000213087,7.1029e-05,0.000213087,7.1029e-05,0.000213087,7.1029e-05,0.000213087,7.1029e-05
31,1441.29,2.33546,2.44566,0.0088,0.63296,0.48845,0.51507,0.22624,2.11087,1.86439,0.00992,0.00021009,7.003e-05,0.00021009,7.003e-05,0.00021009,7.003e-05,0.00021009,7.003e-05
32,1484.01,2.32877,2.44381,0.00877,0.64435,0.4915,0.5213,0.23129,2.10475,1.85431,0.00988,0.000207093,6.9031e-05,0.000207093,6.9031e-05,0.000207093,6.9031e-05,0.000207093,6.9031e-05
33,1527.02,2.31259,2.44821,0.00876,0.64698,0.48581,0.52275,0.23307,2.09983,1.84739,0.00984,0.000204096,6.8032e-05,0.000204096,6.8032e-05,0.000204096,6.8032e-05,0.000204096,6.8032e-05
34,1570.08,2.32804,2.44098,0.0088,0.65069,0.48911,0.52627,0.23602,2.10657,1.83567,0.00986,0.000201099,6.7033e-05,0.000201099,6.7033e-05,0.000201099,6.7033e-05,0.000201099,6.7033e-05
35,1612.51,2.31052,2.40758,0.00875,0.65558,0.49,0.5237,0.23221,2.10741,1.8415,0.00991,0.000198102,6.6034e-05,0.000198102,6.6034e-05,0.000198102,6.6034e-05,0.000198102,6.6034e-05
36,1656.11,2.33477,2.41516,0.00872,0.65661,0.49505,0.53003,0.23431,2.09689,1.82164,0.0098,0.000195105,6.5035e-05,0.000195105,6.5035e-05,0.000195105,6.5035e-05,0.000195105,6.5035e-05
37,1698.97,2.30527,2.4054,0.00862,0.66631,0.48977,0.53506,0.23843,2.08981,1.8125,0.00975,0.000192108,6.4036e-05,0.000192108,6.4036e-05,0.000192108,6.4036e-05,0.000192108,6.4036e-05
38,1741.35,2.31198,2.39982,0.00871,0.64391,0.50033,0.53181,0.23665,2.09596,1.82395,0.00982,0.000189111,6.3037e-05,0.000189111,6.3037e-05,0.000189111,6.3037e-05,0.000189111,6.3037e-05
39,1784.82,2.31266,2.39838,0.00859,0.65797,0.49307,0.53682,0.23617,2.08283,1.80178,0.00977,0.000186114,6.2038e-05,0.000186114,6.2038e-05,0.000186114,6.2038e-05,0.000186114,6.2038e-05
40,1828.01,2.32995,2.42173,0.00854,0.65857,0.49526,0.53355,0.23351,2.09719,1.82383,0.0098,0.000183117,6.1039e-05,0.000183117,6.1039e-05,0.000183117,6.1039e-05,0.000183117,6.1039e-05
41,1870.71,2.31229,2.40943,0.00864,0.65025,0.50231,0.53792,0.23829,2.08965,1.80799,0.00974,0.00018012,6.004e-05,0.00018012,6.004e-05,0.00018012,6.004e-05,0.00018012,6.004e-05
