epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,315.715,3.09612,3.48347,0.00376,0.37358,0.1929,0.1314,0.05112,2.63749,2.82366,0.00484,0.000499552,0.000166517,0.000499552,0.000166517,0.0671961,0.066863,0.000499552,0.000166517
2,502.262,2.787,2.34896,0.00305,0.22809,0.2327,0.17741,0.07407,2.46265,2.39893,0.00431,0.000992922,0.000330974,0.000992922,0.000330974,0.0343561,0.0336941,0.000992922,0.000330974
3,689.616,2.61344,2.03611,0.00274,0.54625,0.27357,0.27762,0.12189,2.37811,2.03596,0.00406,0.00147966,0.000493219,0.00147966,0.000493219,0.0015095,0.000523061,0.00147966,0.000493219
4,875.41,2.52739,1.822,0.00257,0.58501,0.30794,0.32529,0.15159,2.30545,1.79287,0.00387,0.00147015,0.00049005,0.00147015,0.00049005,0.00147015,0.00049005,0.00147015,0.00049005
5,1059.39,2.46501,1.70025,0.00246,0.6211,0.36192,0.36174,0.1651,2.32828,1.70236,0.00396,0.0014602,0.000486733,0.0014602,0.000486733,0.0014602,0.000486733,0.0014602,0.000486733
6,1245.92,2.42947,1.62756,0.0024,0.70195,0.39924,0.41278,0.1963,2.27437,1.60643,0.00382,0.00145025,0.000483417,0.00145025,0.000483417,0.00145025,0.000483417,0.00145025,0.000483417
7,1432.33,2.40742,1.57093,0.00235,0.72899,0.42801,0.4409,0.21068,2.25493,1.51452,0.00377,0.0014403,0.0004801,0.0014403,0.0004801,0.0014403,0.0004801,0.0014403,0.0004801
8,1617.14,2.3858,1.5237,0.00234,0.73356,0.43467,0.45791,0.21937,2.24419,1.49676,0.00376,0.00143035,0.000476783,0.00143035,0.000476783,0.00143035,0.000476783,0.00143035,0.000476783
9,1802.86,2.36884,1.48666,0.00231,0.73133,0.44503,0.4639,0.22544,2.22089,1.45713,0.00368,0.0014204,0.000473467,0.0014204,0.000473467,0.0014204,0.000473467,0.0014204,0.000473467
10,1987.19,2.34511,1.45417,0.00227,0.76808,0.44903,0.48752,0.23691,2.21151,1.41591,0.00368,0.00141045,0.00047015,0.00141045,0.00047015,0.00141045,0.00047015,0.00141045,0.00047015
11,2173.23,2.32433,1.42756,0.00224,0.76108,0.46295,0.50139,0.24157,2.21201,1.39726,0.00363,0.0014005,0.000466833,0.0014005,0.000466833,0.0014005,0.000466833,0.0014005,0.000466833
12,2358.08,2.31878,1.40644,0.00224,0.7863,0.46817,0.51789,0.25109,2.19741,1.35495,0.00357,0.00139055,0.000463517,0.00139055,0.000463517,0.00139055,0.000463517,0.00139055,0.000463517
13,2543.59,2.31858,1.39413,0.00221,0.78375,0.47571,0.52692,0.25518,2.18476,1.35529,0.00358,0.0013806,0.0004602,0.0013806,0.0004602,0.0013806,0.0004602,0.0013806,0.0004602
14,2727.83,2.29695,1.36332,0.0022,0.77087,0.48229,0.52849,0.25586,2.18391,1.34139,0.00357,0.00137065,0.000456883,0.00137065,0.000456883,0.00137065,0.000456883,0.00137065,0.000456883
15,2914.05,2.29466,1.35645,0.00219,0.7945,0.47569,0.54495,0.26365,2.17925,1.32084,0.00354,0.0013607,0.000453567,0.0013607,0.000453567,0.0013607,0.000453567,0.0013607,0.000453567
