epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,245.918,3.32189,3.41995,0.00465,0.23145,0.19194,0.10923,0.03861,3.05921,2.63134,0.00558,0.000998764,0.000332921,0.000998764,0.000332921,0.0677066,0.0670408,0.000998764,0.000332921
2,344.581,3.20791,2.66455,0.0041,0.25436,0.22481,0.13444,0.04753,2.95567,2.43827,0.00533,0.00199217,0.000664056,0.00199217,0.000664056,0.0353667,0.0340386,0.00199217,0.000664056
3,438.664,3.16377,2.52307,0.00388,0.29286,0.23883,0.16177,0.05811,2.90586,2.29924,0.00513,0.00297897,0.000992991,0.00297897,0.000992991,0.00302018,0.00103419,0.00297897,0.000992991
4,527.235,3.07878,2.45371,0.00372,0.31604,0.25338,0.18717,0.07018,2.81963,2.23354,0.00492,0.0029703,0.0009901,0.0029703,0.0009901,0.0029703,0.0009901,0.0029703,0.0009901
5,615.84,3.06019,2.4221,0.0036,0.33888,0.26267,0.20266,0.07579,2.79432,2.20984,0.00486,0.0029604,0.0009868,0.0029604,0.0009868,0.0029604,0.0009868,0.0029604,0.0009868
6,705.161,3.01584,2.35555,0.00354,0.36449,0.26482,0.22177,0.08364,2.77531,2.16588,0.00479,0.0029505,0.0009835,0.0029505,0.0009835,0.0029505,0.0009835,0.0029505,0.0009835
7,794.146,3.00155,2.32989,0.00349,0.3734,0.27392,0.22844,0.0855,2.73119,2.10636,0.00471,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
8,883.18,2.98814,2.29893,0.00347,0.3711,0.28145,0.23761,0.08941,2.73268,2.1016,0.00467,0.0029307,0.0009769,0.0029307,0.0009769,0.0029307,0.0009769,0.0029307,0.0009769
9,973.278,2.97576,2.29145,0.00341,0.3817,0.29006,0.24647,0.09346,2.70562,2.08003,0.00462,0.0029208,0.0009736,0.0029208,0.0009736,0.0029208,0.0009736,0.0029208,0.0009736
10,1061.92,2.96047,2.27008,0.00342,0.38434,0.2795,0.24173,0.09255,2.71221,2.09027,0.00464,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
11,1151.1,2.94649,2.23122,0.00339,0.39404,0.30288,0.2609,0.1009,2.67512,2.05061,0.00457,0.002901,0.000967,0.002901,0.000967,0.002901,0.000967,0.002901,0.000967
12,1240.13,2.92453,2.22054,0.00333,0.39699,0.30141,0.26146,0.1,2.66732,2.03877,0.00455,0.0028911,0.0009637,0.0028911,0.0009637,0.0028911,0.0009637,0.0028911,0.0009637
13,1328.52,2.91998,2.20039,0.00329,0.40479,0.29919,0.26643,0.10465,2.63701,2.02138,0.00452,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
14,1415.19,2.91178,2.1925,0.00332,0.41996,0.30532,0.27638,0.1073,2.63569,2.05992,0.0045,0.0028713,0.0009571,0.0028713,0.0009571,0.0028713,0.0009571,0.0028713,0.0009571
15,1505.71,2.90125,2.18207,0.00329,0.42169,0.30953,0.28148,0.11172,2.62154,1.98208,0.00448,0.0028614,0.0009538,0.0028614,0.0009538,0.0028614,0.0009538,0.0028614,0.0009538
16,1599.54,2.88919,2.16281,0.00327,0.42451,0.31051,0.28737,0.11345,2.60589,1.98234,0.00443,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
17,1694.29,2.90077,2.18255,0.00326,0.43937,0.30562,0.28954,0.11481,2.61109,1.96451,0.00445,0.0028416,0.0009472,0.0028416,0.0009472,0.0028416,0.0009472,0.0028416,0.0009472
18,1787.58,2.91779,2.16288,0.00324,0.43715,0.31341,0.29136,0.1146,2.59769,1.96976,0.00443,0.0028317,0.0009439,0.0028317,0.0009439,0.0028317,0.0009439,0.0028317,0.0009439
19,1880.76,2.87636,2.15164,0.00323,0.45464,0.30933,0.29499,0.11952,2.59778,1.93978,0.00446,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
20,1973.81,2.86768,2.1513,0.00324,0.4466,0.31188,0.29742,0.12116,2.5686,1.94556,0.00436,0.0028119,0.0009373,0.0028119,0.0009373,0.0028119,0.0009373,0.0028119,0.0009373
21,2069.06,2.87296,2.14323,0.00321,0.45355,0.31276,0.29942,0.11889,2.58626,1.94274,0.00441,0.002802,0.000934,0.002802,0.000934,0.002802,0.000934,0.002802,0.000934
22,2162.01,2.84668,2.1127,0.00321,0.45361,0.30708,0.29617,0.12065,2.58214,1.94736,0.00438,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
23,2255.63,2.84656,2.11912,0.00318,0.45151,0.31207,0.30053,0.11997,2.57394,1.93777,0.00437,0.0027822,0.0009274,0.0027822,0.0009274,0.0027822,0.0009274,0.0027822,0.0009274
24,2349.47,2.85251,2.11077,0.00319,0.44904,0.32442,0.30891,0.12724,2.55714,1.91495,0.00432,0.0027723,0.0009241,0.0027723,0.0009241,0.0027723,0.0009241,0.0027723,0.0009241
25,2443.31,2.84191,2.10692,0.00318,0.46836,0.31912,0.31256,0.12812,2.56962,1.91266,0.00434,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
26,2537,2.84435,2.10311,0.00317,0.46408,0.32322,0.31348,0.12569,2.55726,1.92125,0.00436,0.0027525,0.0009175,0.0027525,0.0009175,0.0027525,0.0009175,0.0027525,0.0009175
27,2630.71,2.84586,2.09914,0.00315,0.46626,0.328,0.31856,0.12621,2.57635,1.92228,0.00435,0.0027426,0.0009142,0.0027426,0.0009142,0.0027426,0.0009142,0.0027426,0.0009142
28,2723.58,2.83752,2.1062,0.00314,0.46995,0.33115,0.32043,0.13086,2.55365,1.89272,0.00432,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
29,2816.63,2.82023,2.08486,0.00315,0.46934,0.32254,0.31638,0.12742,2.56554,1.92453,0.00435,0.0027228,0.0009076,0.0027228,0.0009076,0.0027228,0.0009076,0.0027228,0.0009076
30,2909.09,2.82876,2.08628,0.00314,0.47143,0.32694,0.32328,0.13294,2.53823,1.89445,0.00429,0.0027129,0.0009043,0.0027129,0.0009043,0.0027129,0.0009043,0.0027129,0.0009043
31,3002.54,2.80809,2.07649,0.00313,0.46627,0.33399,0.32458,0.13464,2.53592,1.88912,0.00432,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
32,3096.1,2.83204,2.0786,0.00311,0.4789,0.32949,0.32664,0.13439,2.53967,1.88945,0.00429,0.0026931,0.0008977,0.0026931,0.0008977,0.0026931,0.0008977,0.0026931,0.0008977
33,3190.03,2.80537,2.06359,0.00311,0.48425,0.32596,0.32806,0.13638,2.53713,1.87764,0.00429,0.0026832,0.0008944,0.0026832,0.0008944,0.0026832,0.0008944,0.0026832,0.0008944
34,3282.55,2.80857,2.07347,0.00315,0.48226,0.33379,0.33079,0.13334,2.53783,1.88496,0.00427,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
35,3375.88,2.79949,2.05446,0.00309,0.48896,0.32988,0.32742,0.1359,2.54113,1.88109,0.0043,0.0026634,0.0008878,0.0026634,0.0008878,0.0026634,0.0008878,0.0026634,0.0008878
36,3469.62,2.80482,2.07745,0.00313,0.47594,0.33467,0.33111,0.13658,2.55355,1.87997,0.00427,0.0026535,0.0008845,0.0026535,0.0008845,0.0026535,0.0008845,0.0026535,0.0008845
37,3562.81,2.80089,2.05892,0.0031,0.48284,0.33232,0.32967,0.13514,2.54759,1.8781,0.00427,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
38,3656.63,2.78986,2.03638,0.0031,0.49231,0.33379,0.33552,0.13867,2.53816,1.86751,0.00428,0.0026337,0.0008779,0.0026337,0.0008779,0.0026337,0.0008779,0.0026337,0.0008779
39,3750.47,2.79625,2.03303,0.00308,0.49287,0.33213,0.3355,0.13793,2.52872,1.87465,0.00425,0.0026238,0.0008746,0.0026238,0.0008746,0.0026238,0.0008746,0.0026238,0.0008746
40,3844.3,2.79252,2.03251,0.00308,0.49229,0.33172,0.33496,0.13947,2.52185,1.8604,0.00426,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
41,3938.31,2.78429,2.01678,0.00308,0.49232,0.34152,0.34201,0.14141,2.52473,1.84494,0.00429,0.002604,0.000868,0.002604,0.000868,0.002604,0.000868,0.002604,0.000868
42,4032.56,2.77944,2.02631,0.00306,0.49331,0.3424,0.34163,0.14213,2.52833,1.8522,0.00428,0.0025941,0.0008647,0.0025941,0.0008647,0.0025941,0.0008647,0.0025941,0.0008647
43,4125.61,2.7753,2.03457,0.00305,0.50495,0.33457,0.34102,0.14136,2.53136,1.85719,0.00426,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
